id	ide	totsbill	Party	KMT	DPP	PFP	TSU	male	mainlander	SMD	birthyear	incumbent	Internal Administration Committee	Foreign and national defense committee	Economics Committee	Finance committee	Education and Culture 	Transportation	Judicial and organic laws and statutes	Social Welfare and Environmental Hygiene	Procedure Committee	Discipline Committee	Constitutional Amendment Committee	Expenditure Examination
___	"Yeh, Yi-Jin"	451	2	0	1	0	0	0	0	1	1960	0	0	0	0	0	0	1	0	0	0	1	0	1
___	"Yeh, Chin-Lin"	579	4	0	0	0	1	0	0	0	1947	0	0	0	1	0	0	0	0	0	1	0	0	1
___	"Chan, Kai-Chin"	574	1	1	0	0	0	1	0	1	1951	0	0	1	0	0	0	0	0	0	1	1	0	1
___	"Chan, Man-Jung"	15	1	1	0	0	0	0	0	0	1956	0	0	0	0	0	0	0	1	0	0	1	0	0
___	"Liao, Cheng-Ching"	109	1	1	0	0	0	1	0	1	1945	1	0	0	1	0	0	0	1	0	1	1	0	1
___	"Liao, Kuo-Tung"	341	1	1	0	0	0	1	0	1	1955	1	0	0	1	0	0	0	0	0	1	0	1	1
___	"Kuan, Bi-Ling"	71	2	0	1	0	0	0	0	1	1956	1	0	0	0	0	0	1	0	0	0	1	1	0
___	"Chao, Tien-Lin"	285	2	0	1	0	0	1	1	1	1973	0	0	0	0	0	0	0	0	1	1	1	1	0
___	"Liu, Chien-Kuo"	853	2	0	1	0	0	1	0	1	1969	0	0	0	0	0	0	0	0	1	0	1	0	0
___	"Liu, Chao-Hao"	129	2	0	1	0	0	1	0	1	1967	0	0	0	0	0	0	1	0	0	0	1	0	1
___	"Pan, Wei-Kang"	176	1	1	0	0	0	0	1	0	1957	1	0	0	1	1	1	0	1	0	1	1	0	1
___	"Tsai, Cheng-Yuan"	217	1	1	0	0	0	1	0	1	1953	1	0	0	0	1	0	0	0	0	0	0	0	0
___	"Tsai, Chi-Chang"	599	2	0	1	0	0	1	0	1	1969	0	0	0	0	0	0	1	1	0	0	1	0	0
___	"Tsai, Huang-Liang"	0	2	0	1	0	0	1	0	0	1960	1	0	1	0	0	0	0	0	0	1	0	0	0
___	"Tsai, Chin-Lung"	335	1	1	0	0	0	1	0	1	1958	1	0	1	0	0	0	0	0	1	0	0	1	0
___	"Chiang, Nai-Shin"	1070	1	1	0	0	0	1	1	1	1948	1	0	0	0	0	1	0	0	0	0	0	0	0
___	"Jeng, Tian-Tsair"	176	1	1	0	0	0	1	0	1	1956	0	1	0	0	0	1	0	1	0	1	0	0	1
___	"Cheng, Ru-Fen"	246	1	1	0	0	0	0	0	1	1957	1	0	0	0	0	0	0	0	1	0	1	1	1
___	"Cheng, Li-Chiun"	484	2	0	1	0	0	0	0	0	1969	0	0	0	0	0	1	0	0	0	1	1	1	0
___	"Lu, Shiow-Yen"	875	1	1	0	0	0	0	1	1	1961	1	0	0	0	1	0	0	0	0	0	1	1	1
___	"Lu, Chia-Chen"	139	1	1	0	0	0	1	0	1	1953	0	1	0	0	0	0	1	0	0	0	0	0	0
___	"Hsiao, Bi-Khim"	150	2	0	1	0	0	0	0	0	1971	0	0	1	0	0	0	0	0	0	1	1	0	0
___	"Lai, Shyh-Bao"	256	1	1	0	0	0	1	0	1	1951	1	0	0	0	1	0	0	1	0	1	1	1	0
___	"Lai, Chen-Chang"	776	4	0	0	0	1	1	0	0	1958	0	0	0	0	1	1	0	0	0	1	0	1	0
__	"Hsueh, Ling"	86	2	0	1	0	0	0	0	0	1954	1	0	0	0	1	0	0	0	0	1	1	0	0
___	"Hsieh, Kuo-Liang"	97	1	1	0	0	0	1	0	1	1975	1	0	0	0	0	0	0	1	0	0	0	0	0
___	"Chien, Tung-Ming"	120	1	1	0	0	0	1	0	1	1951	1	0	1	1	0	0	1	0	0	0	0	0	0
___	"Yen, Kuan-Heng"	830	1	1	0	0	0	1	0	1	1977	0	0	0	0	0	0	0	1	0	0	0	1	0
___	"Lo, Ming-Tsai"	171	1	1	0	0	0	1	0	1	1967	1	0	0	0	1	0	0	0	0	0	1	0	0
___	"Lo, Shu-Lei"	96	1	1	0	0	0	0	0	1	1952	0	0	0	0	0	0	1	0	0	0	1	0	0
___	"Su, Ching-Chuan"	172	1	1	0	0	0	1	0	0	1957	0	0	0	0	0	0	0	0	1	0	1	0	0
___	"Su, Chen-Ching"	1103	2	0	1	0	0	1	0	1	1965	1	0	0	1	0	0	0	0	0	0	1	0	0
